Expediente;Período;Legislatura;Fecha;Proponente;Parlamento;Título;Objeto
04915/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Unión por el Perú;LEY QUE DISPONE DE REFORMA EXCEPCIONAL A LOS AFILIADOS EN EL SISTEMA DE AFP AL RETIRO FACULTATIVO DE UNA FRACCIÓN DE SU FONDO INDIVIDUAL;Propone disponer de forma excepcional a los afiliados en el sistema de AFP al retiro facultativo de una fracción de su fondo individual, con el fin de cubrir los gastos esenciales y mantener la capacidad adquisitiva de las familias que se verán afectadas por las consecuencias económicas del Estado de Emergencia y Emergencia Sanitaria por la pandemia mundial del virus COVID-19
04914/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Alianza Para el Progreso;LEY QUE INCORPORA LA ENTREGA DENOMINADA BONIFICACIÓN EN EL PUESTO DE SALUD PÚBLICA POR LABORES DE APOYO DEL PERSONAL TÉCNICO O AUXILIAR ASISTENCIAL DE SALUD;Propone incorporar el literal f) en el numeral 8.2 del art. 8 del D. Leg. 1153 ampliando la Bonificación económica al personal técnico o auxiliar asistencial de la salud.
04913/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Alianza Para el Progreso;LEY QUE AUTORIZA LA PROGRESIÓN EN LA CARRERA MÉDICA Y DE LOS PROFESIONALES DE LA SALUD NO MÉDICOS, MEDIANTE EL PROCESO DE ASCENSO AUTOMÁTICO EXCEPCIONAL POR AÑOS DE SERVICIO;Propone autorizar al Ministerio de Salud, sus organismos públicos y los gobiernos regionales, la progresión vía ascenso automático en la carrera médica y de los profesionales de la salud no médicos.
04912/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Alianza Para el Progreso;LEY QUE MODIFICA LOS ARTÍCULOS 121 Y 122 DEL CÓDICO PENAL;Propone modificar los artículos 121 y 122 del Código Penal con el fin de introducir circunstancias agravantes específicas en caso de que la víctima sea profesional, técnico o auxiliar asistencial de la salud.
04911/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Fuerza Popular;LEY DE DEFENSA DE LA ECONOMÍA DE LOS TRABAJADORES INDEPENDIENTES Y LAS MYPES EN EL PERÚ ANTE LA SITUACIÓN DE EMERGENCIA PRODUCIDA POR EL COVID-19;Propone establecer el marco legal con las medidas necesarias para la defensa de la economía de los trabajadores independientes y de la Micro y Pequeña Empresa en el Perú ante el avance del Covid 19
04910/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Frente Amplio por Justicia, Vida y Libertad;LEY QUE DICTA MEDIDAS EXTRAORDINARIAS ANTE SITUACIONES DE EMERGENCIA PARA LA ATENCIÓN Y PAGO DE SERVICIOS PÚBLICOS;Propone establecer el marco institucional para la regulación, planificación y gestión de los servicios públicos básicos, ante cualquier situación de crisis sanitaria o por desastres naturales, a nivel nacional o regional, que ponga en riesgo la vida o salud de la ciudadanía.
04909/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Frente Amplio por Justicia, Vida y Libertad;RESOLUCIÓN LEGISLATIVA DEL CONGRESO QUE MODIFICA EL REGLAMENTO DEL CONGRESO DE LA REPÚBLICA PARA INCORPORAR EL PROCEDIMIENTO DE SESIONES Y TRÁMITES VIRTUALES EN ESCENARIOS DE ESTADOS DE EMERGENCIA POR CRISIS SANITARIAS O CATÁSTROFES NATURALES;Propone modificar el Reglamento del Congreso, en aras de mejorar los mecanismos de coordinación y participación para la asistencia y votación en las sesiones de los órganos parlamentarios, como son Junta de Portavoces, Consejo Directivo, Comisión Permanente, Pleno del Congreso y Comisiones Ordinarias y Especiales, frente a escenarios de estado de emergencia, producto de crisis sanitarias o catástrofe naturales.
04908/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Alianza Para el Progreso;LEY QUE MODIFICA DIVERSOS ARTÍCULOS DEL DECRETO LEGISLATIVO N° 1154, QUE AUTORIZA REALIZAR SERVICIOS COMPLEMENTARIOS EN SALUD.;Propone modificar los arts. 2, 3, 4 y 5 del D. Leg. 1154 para definir los servicios complementarios en salud.
04907/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Unión por el Perú;LEY SOBRE EXTINCIÓN ESPECIAL DE LA PENA EN POBLACIONES CARCELARIAS VULNERABLES PARA EVITAR QUE SUFRAN LOS EFECTOS DEL COVID-19;Propone ley sobre extinción especial de la pena en poblaciones carcelarias vulnerables para evitar que sufran los efectos del Covid-19
04906/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Acción Popular;RESOLUCIÓN LEGISLATIVA DEL CONGRESO QUE MODIFICA LOS ARTÍCULOS 3, 4, 5, 6 Y 51 DEL REGLAMENTO DEL CONGRESO DE LA REPÚBLICA PARA ESTABLECER SESIONES, DEBATES Y VOTOS VIRTUALES;Propone modificar los artículos 3, 4, 5, 6 y 51 del Reglamento del Congreso de la República para establecer sesiones, debates y votos virtuales.
04905/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Frente Popular Agrícola del Perú;RESOLUCIÓN LEGISLATIVA QUE ADICIONA LA CUARTA DISPOSICIÓN TRANSITORIA AL REGLAMENTO DEL CONGRESO DE LA REPÚBLICA, FACULTANDO A LOS ÓRGANOS DE LA ORGANIZACIÓN PARLAMENTARIA Y A LA COMISIÓN PERMANENTE A SESIONAR VIRTUALMENTE;Propone adicionar la Cuarta Disposición Transitoria al Reglamento del Congreso de la República, facultando a los Órganos de la Organización Parlamentaria y a la Comisión Permanente a sesionar virtualmente.
04904/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Alianza Para el Progreso;MODIFICACIÓN DE LA LEY DEL CANON 27506, LEY QUE CONTRIBUYE AL DESARROLLO SOCIAL Y CIERRE DE BRECHAS CON LA PARTICIPACIÓN DE LOS INGRESOS DE CANON, SOBRECANON Y REGALIAS DE LOS GOBIERNOS REGIONALES Y LOCALES DEL PERÚ;Propone moificar el artículo 6, numeral 6.2 de la Ley 27506, Ley del Canon, ley que contribuye al desarrollo social y cierre de brechas con la participación de los ingresos de canon, sobrecanon y regalías de los Gobiernos Regionales y Locales del Perú.
04903/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Alianza Para el Progreso;LEY DE MODIFICACIÓN DE LA LEY DEL CANON 27506, LEY QUE AUTORIZA A LOS GOBIERNOS REGIONALES Y LOCALES DEL PERÚ ADOPTAR MEDIDAS EXCEPCIONALES Y EXTRAORDINARIAS FRENTE AL COVID 19 CON LOS INGRESOS DE CANON;Propone modificar la Ley del Canon 27506, Ley que autoriza a los Gobiernos Regionales y Locales del Perú adoptar medidas excepcionales y extraordinarias frente al COVID 19 con los ingresos del Canon.
04902/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Acción Popular;RESOLUCIÓN LEGISLATIVA QUE PRECISA REGLAS DE FUNCIONAMIENTO DEL CONGRESO DE LA REPÚBLICA EN ESTADOS DE EXCEPCIÓN;Propone incorporar como Anexo al Reglamento del Congreso de la República, un Reglamento Especial de Funcionamiento del Congreso de la República en Estados de Excepción, a efectos de precisar el funcionamiento del parlamento en situaciones excepcionales como suceden en los casos de estados de emergencias y/o de sitio, precisados en artículo 137 de la Constitución del Estado, a efectos de asegurar el rol del parlamento en el cumplimiento de sus funciones en razón de la voluntad popular delegada para la representación de la nación.
04901/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Acción Popular;LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN DE UN FONDO ESPECIAL PARA EL OTORGAMIENTO DE UNA PENSIÓN AL AGRICULTOR FAMILIAR INDEPENDIENTE;Propone declarar de necesidad pública e interés nacional la creación de un fondo especial para el otorgamiento de una pensión de jubilación para el agricultor familiar independiente, con la finalidad de aliviar su situación de pobreza y mejorar su calidad de vida.
04900/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Acción Popular;LEY QUE DECLARA DE INTERÉS NACIONAL Y DE NECESIDAD PÚBLICA LA IMPLEMENTACIÓN DE INSTITUCIONES EDUCATIVAS SEECUNDARIAS QUE BRINDEN FORMACIÓN TÉCNICA, EN CADA UNA DE LAS 196 PROVINCIAS DEL PERÚ;Propone declarar de interés nacional y de necesidad pública la implementación de instituciones educativas secundarias que brinden formación técnica, en cada una de las 196 provincias del Perú.
04899/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Acción Popular;LEY DE MORATORIA PARA EL PAGO DE DEUDAS AL SISTEMA FINANCIERO Y DE SEGUROS, POR LA DECLARATORIA DE EMERGENCIA POR EL COVID-19;Propone establecer medidas excepcionales que garanticen la protección del empleo y la economía peruana, durante y después al Estado de Emergencia establecido por el Decreto Supremo 044-2020-PCM. mediante la prórroga de las deudasa al Sistema Financiero y de Seguros.
04898/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Frente Popular Agrícola del Perú;LEY QUE ESTABLECE MEDIDAS DE APOYO AL TRABAJADOR DURANTE LA VIGENCIA DEL ESTADO DE EMERGENCIA POR PANDEMIA;Propone disponer una medida de apoyo para el trabajador en el contexto del estado de emergencia decretado de acuerdo a lo establecido en el artículo 137 de la Constitución Política y en el marco de lo establecido en el Decreto Supremo 044-2020-PCM
04897/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Congreso;Alianza Para el Progreso;LEY QUE ESTABLECE MEDIDADS PARA FORTALECER LA FUNCIÓN DE LA CONTRALORÍA GENERAL Y LA APLICACIÓN DEL CONTROL CONCURRENTE;Propone establecer disposiciones urgentes para fortalecer la función de la Contraloría General de la República, dotando de herramientas a esta Entidad Fiscalizadora Superior para la correcta fiscalización de la ejecución de los recursos públicos, a través de un control preventivo y concurrente.
04896/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2019;26/03/2020;Congreso;Acción Popular;LEY QUE ENDURECE PENAS A QUIENES AGREDAN A PERSONAL POLICIAL Y DE LAS FUERZAS ARMADAS EN EJERCICIO DE SUS FUNCIONES DURANTE ESTADOS DE EXCEPCIÓN;Propone modificar los artículos 367 y 368 del Código Penal, referente a los delitos de violencia y resistencia a la autoridad, a las agresiones de diversa índole u obstaculización del ejercicio de las funciones contra el personal policial y de las fuerzas armadas, durante la decretación de Estado de Excepción (Estado de emergencia y/o de Sitio).
04895/2020-PE;2016 - 2021;Primera Legislatura Ordinaria 2020;26/03/2020;Poder Ejecutivo;;LEY QUE DELEGA EN EL PODER EJECUTIVO LA FACULTAD DE LEGISLAR EN DIVERSAS MATERIAS PARA LA ATENCIÓN DE LA EMERGENCIA SANITARIA PRODUCIDA POR EL COVID-19;Propone delegar en el Poder Ejecutivo la facultad de legislar en diversas materias para la atención de la emergencia sanitaria producida por el COVID-19
04894/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY QUE SUSPENDE POR DOS MESES EL COBRO DE SERVICIOS DE AGUA, ENERGÍA ELECTRICA, GAS, SERVICIOS DE TELEFONÍA FIJA, CELULAR, INTERNET, CABLE, PAGOS DE ALQUILERES Y PRESTAMOS FINANCIEROS, COMO CONSECUENCIA DEL ESTADO DE EMERGENCIA.;Propone suspender por 2 meses el cobro de diversos servicios públicos y de préstamos financieros como consecuencia de la declaración del Estado de Emergencia.
04893/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY QUE MODIFICA EL ARTÍCULO 40 DEL DECRETO SUPREMO 054-97-EF, TEXTO ÚNICO ORDENADO DE LA LEY DEL SISTEMA PRIVADO DE ADMINISTRACIÓN DE FONDOS DE PENSIONES.;Propone modificar el artículo 40 del Decreto Supremo 054-97-EF, TUO de la Ley del Sistema Privado de Pensiones de las AFP, estableciendo el porcentaje para la disposición de los fondos acumulados por parte de los aportantes.
04892/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Frente Popular Agrícola del Perú;LEY QUE RECONOCE BENEFICIOS AL PERSONAL DE SALUD QUE SE PONGA AL SERVICIO DEL PAÍS DURANTE EL ESTADO DE EMERGENCIA POR PANDEMIA;Propone reconocer beneficios al personal profesional, técnico y auxiliar de salud que brinde sus servicios de atención durante la declaratoria de emergencia sanitaria establecida mediante Decreto Supremo 008-2020-SA y el Estado de Emergencia establecido mediante Decreto Supremo 044-2020-PCM
04891/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY SOBRE MEDIDAS EXCEPCIONALES A FAVOR DE LOS TRABAJADORES Y DE LOS CONSUMIDORES Y USUARIOS, EN CASOS DE GRAVE EMERGENCIA NACIONAL;Propone establecer diversas medidas excepcionales en favor de los trabajadores, en caso el Poder Ejecutivo declare el Estado de Emergencia.
04890/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Fuerza Popular;LEY QUE ACTUALIZA EL BONO DE RECONOCIMIENTO A LOS APORTANTES AL SISTEMA NACIONAL DE PENSIONES QUE SE INCORPORARON AL SISTEMA PRIVADO DE PENSIONES.;Propone actualizar el Bono de Reconocimiento y modificar el artículo 11 del Decreto Ley 25897, Ley de Creación del Sistema Privado de Administración de Fondos de Pensiones.
04889/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Fuerza Popular;RESOLUCIÓN LEGISLATIVA QUE INCORPORA EL INCISO F) AL ARTÍCULO 27 Y ADICIONA LOS ARTÍCULOS 27-A Y 28-A AL REGLAMENTO DEL CONGRESO DE LA REPÚBLICA, A FIN DE QUE EN SITUACIONES EN QUE HAYA SIDO DECRETADO ESTADO DE EXCEPCIÓN, SEA POSIBLE SUSTITUIR LA PARTICIPACIÓN PRESENCIAL POR MEDIOS VIRTUALES, PARA PERMITIR EL FUNCIONAMIENTO DE LA ORGANIZACIÓN PARLAMENTARIA Y EL SERVICIO PARLAMENTARIO.;Propone incorporar el inciso f) al artículo 27 y adicionar los artículos 27-A y 28-A al Reglamento del Congreso de la República, para que en caso sea decretado el Estado de Excepción, se pueda sustituir la participación presencial por medios virtuales, para permitir el funcionamiento de la Organización Parlamentaria y el Servicio Parlamentari
04888/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Fuerza Popular;LEY QUE MODIFICA EL ARTÍCULO 2° DE LA LEY N° 25129, QUE DISPONE QUE LOS TRABAJADORES DE LA ACTIVIDAD PRIVADA CUYAS REMUNERACIONES NO SE REGULAN POR NEGOCIACIÓN COLECTIVA, PERCIBIRÁN EL EQUIVALENTE AL 10% DEL INGRESO MÍNIMO LEGAL POR TODO CONCEPTO DE ASIGNACIÓN FAMILIAR.;Propone modificar el artículo 2 de la Ley 25129, incorporando el artículo 2-A, ampliando los derechos de los trabajadores de la actividad privada cuyas remuneraciones no se regulan por negociación colectiva
04887/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Frente Popular Agrícola del Perú;LEY QUE IMPONE UN IMPUESTO DIRECTO SOLIDARIO A LAS GRANDES FORTUNAS PARTICULARES, DE GRUPO ECONÓMICO Y DE EMPRESAS EN GENERAL, EN BASE A SUS FUNCIONES LEGISLATIVAS;Propone imponer un impuesto directo solidario a las grandes fortunas de las personas naturales, jurídicas y grupos económicos, para la inclusión de los peruanos más pobres en la educación, salud y creación de trabajo productivo.
04886/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY QUE MODIFICA EL PLAZO PARA EL ACOGIMIENTO A LOS BENEFICIOS DEL DECRETO DE URGENCIA N° 030-2019, DECRETO DE URGENCIA QUE ESTABLECE CON CARÁCTER EXCEPCIONAL EL RÉGIMEN DE REPROGRAMACIÓN DE PAGO DE APORTES PREVISIONALES A LOS FONDOS DE PENSIONES DEL SISTEMA PRIVADO DE ADMINISTRACIÓN DE FONDOS DE PENSIONES ADEUDADOS POR ENTIDADES PÚBLICAS (REPRO AFP II).;Propone modificar el plazo para el acogimiento a los beneficios del D. U. 030-2019, que establece con carácter excepcional el régimen de reprogramación de pago de aportes previsionales a los fondos de pensiones del sistema privado de las AFPs adeudados por entidades públicas.
04885/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY QUE REGULA Y ESTABLECE UN PROCEDIMIENTO MERITOCRÁTICO Y TRANSPARENTE PARA LA ELECCIÓN DE LOS MIEMBROS DEL TRIBUNAL CONSTITUCIONAL;Propone regular y establecer un procedimiento meritocrático y transparente para la elección de los miembros del Tribunal Constitucional, modificando el artículo 8 de la Ley 28301, Ley Orgánica del Tribunal Constitucional
04884/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY DE PROTECCIÓN A LA ECONOMÍA FAMILIAR DURANTE EL PLAZO DE DECLARATORIA DE ESTADO DE EMERGENCIA NACIONAL;Propone establecer un marco legal que permita suspender el cobro de deudas bancarias, tributarias, servicos básicos, estudios y municipales, y determinar la nulidad de los despidos de los trabajadores del sector público y/o privado durante el Estado de Emergencia Nacional
04883/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY QUE GARANTIZA LA LIBRE DISPONIBILIDAD DE LOS FONDOS DE PENSIONES ADMINISTRADOS POR LAS AFP;Propone garantizar la libre disponibilidad de los fondos de pensiones administrados por las AFP, para poder cambiar el tipo de fondo elegido a otro en la misma entidad.
04882/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY DE REFORMA CONSTITUCIONAL QUE REGULA Y PRECISA LA INMUNIDAD PARLAMENTARIA;Propone modificar el art. 93 de la Constitución Política del Perú a efectos de regular y precisar los alcances de la inmunidad parlamentaria.
04881/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY QUE ESTABLECE EL CUMPLIMIENTO DEL PROGRAMA DE COMPENSACIONES PARA LOS PRODUCTORES AGROPECUARIOS DE ALGODÓN, MAÍZ AMARILLO DURO Y TRIGO;Propone establecer el cumplimiento obligatorio del Programa de Compensaciones para la Competitividad determinadas en el D. Leg. 1077 a favor de los productores agropecuarios.
04880/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY DE ETIQUETADO DE PRODUCTOS ALIMENTICIOS IMPORTADOS PARA CONSUMO HUMANO;Propone establecer la obligatoriedad del etiquetado de productos alimenticios importados para consumo humano, cuya información deberá ser consignada en idioma español.
04879/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Podemos Perú;LEY QUE DECLARA EL DÍA NACIONAL DE LA ORACIÓN;"Propone declarar el tercer domingo del mes de abril de cada año, como el """"Día Nacional de la Oración""""."
04878/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Multipartidario;LEY QUE ESTABLECE MEDIDAS URGENTES EN MATERIA ECONÓMICA, ADMINISTRATIVA, LABORAL Y MÉDICA PARA AFRONTAR LA EMERGENCIA SANITARIA A CAUSA DE LA PANDEMIA COVID-19 CORONAVIRUS;Propone establecer medidas que minimicen los efectos económicos y sociales a causa de la pandemia COVID-19 Coronavirus.
04877/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Alianza Para el Progreso;LEY DE REFORMA DEL ARTÍCULO 149 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ, CON EL FIN DE OTORGAR AUTONOMÍA JURISDICCIONAL A LAS RONDAS CAMPESINAS;Propone modificar el artículo 149 de la Constitución Política del Perú, referente a otorgar autonomía jurisdiccional a las Rondas Campesinas
04876/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Acción Popular;LEY QUE ESTABLECE LA LIBRE DISPONIBILIDAD DEL 100% DEL EXCEDENTE DE DOS REMUNERACIONES DE LA COMPENSACIÓN POR TIEMPO DE SERVICIOS (CTS) DURANTE, Y HASTA 30 DÍAS DESPUES DE FINALIZADO EL ESTADO DE EMERGENCIA POR CORONAVIRUS (COVID-19);Propone ley que faculta a los trabajadaores comprendidos dentro de los alcances del Texto Único Ordenado de la Ley de Compensación por Tiempo de Servicios (/CTS) aprobado por Decreto Supremo 001-97-TR y su norma reglamentaria, aprobada por Decreto Supremo 004-97-TR a la disponibilidad temporal de los depósitos de la Compensación por Tiempo de Servicios (CTS).
04875/2020-CR;2016 - 2021;Primera Legislatura Ordinaria 2020;24/03/2020;Congreso;Somos Perú;LEY QUE MODIFICA EL ARTÍCULO 6 DE LA LEY 27506, LEY DEL CANON PARA EL FORTALECIMIENTO DE LAS INVERSIONES EN EL SECTOR SALUD, EDUCACIÓN Y AGRICULTURA;Propone disponer que la transferencia del canon, que reciben los gobiernos regionales y locales, pueda ser utilizada para el fortalecimiento de las inversiones en el sector salud, educación y agricultura.
