Expediente;Período;Legislatura;Fecha;Proponente;Parlamento;Título;Objeto
02574/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Peruanos por el Kambio;REFORMA CONST.115°/PRECISA ELECCIONES GENERALES EN CASO DE IM´PEDIMENTO DE LÍNEA SUCESORIA A PRESIDENTE DE LA REPÚBLICA EN CASO DE VACANCIA;Propone modificar el artículo 115° de la Constitución Política: por impedimento temporal o permanente del Presidente de la república, asume sus funciones el Primer Vicepresidente. En defecto de éste, el Segundo Vicepresidente. Por impedimento de ambos, el Presidente del Congreso. Si el impedimento es permanente, el Presidente del Congreso convoca de inmediato a elecciones generales para Presidente, Vicepresidente y Congreso de la República.
02573/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE MODIFICA LOS ARTÍCULOS 5, 8 DE LA LEY 29685 QUE ESTABLECE MEDIDAS ESPECIALES EN CASOS DE DESAPARICIÓN DE NIÑOS, NIÑAS, ADOLESCENTES, PERSONAS ADULTA MAYORES Y PERSONAS CON DISCAPACIDAD MENTAL, FISICA O SENSORIAL;Propone modificar los artículos 5, 8 de la Ley 29685 que establece medidas especiales en casos de desaparición de niños, niñas, adolescentes, personas adultas mayores y personas con discapacidad mental, física o sensorial.
02572/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;NUEVA LEY DE ADMINISTRACIÓN DE LOS FONDOS DE VIVIENDA MILITAR O POLICIAL;"Propone ley de """"Nueva Ley de administración de fondos de vivienda militar y policial""""."
02571/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY DE DESARROLLO CONSTITUCIONAL SOBRE EL PERFECCIONAMIENTO INTERNO DE LOS TRATADOS;Propone regular los actos relativos al perfeccionamiento interno y aprobación de los tratados celebrados por el Estado peruano, en el marco de lo establecido en el Titulo II, Capítulo II, de la Constitución Politica del Perú.
02570/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE FACILITA EL SANEAMIENTO FINANCIERO DE LAS EMPRESAS PRESTADORAS DE SERVICIOS DE SANEAMIENTO RESPECTO DE LAS DEUDAS POR OPERACIONES DE CRÉDITO EXTERNO;Propone lograr el Saneamiento Financiero de las deudas de capital, intereses compensatorios, intereses moratorios, moras y gastos administrativos que mantienen las Empresas Prestadoras de Servicios de Saneamiento.
02569/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE MODIFICA LOS ARTÍCULOS 346, 347, 352 DE LA LEY 26887, LEY GENERAL DE SOCIEDADES, REFERENTE A LAS FUSIONES DE SOCIEDADES;Propone modificar los artículos 346, 347, 352 de la Ley 26887, Ley General de Sociedades, referido a la reorganización en cuanto al proceso de fusión de dos o más sociedades para formar una sola sociedad cualquiera sea el rubro de su objeto social o actividad comercial, con la finalidad de evitar actos de concentración que tengan por efecto disminuir, dañar o impedir la libre competencia.
02568/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE DECLARA DE INTERÉS NACIONAL LA PROTECCIÓN, INVESTIGACIÓN, DEFENSA Y CONSERVACIÓN DEL SITIO ARQUEOLÓGICO MONUMENTAL DENOMINADO PILA PUNTA, UBICADO EN EL DISTRITO DE PARARÍN, PROVINCIA DE RECUAY, DEPARTAMENTO DE ANCASH;Propone declarar de interés nacional la protección, investigación, defensa y conservación del sitio arqueológico monumental denominado Pila Punta, ubicado en el distrito de Pararín, provincia de Recuay, departamento de Ancash.
02567/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE ESTABLECE LA AUTORIZACIÓN PREVIA POR EL INSTITUTO NACIONAL DE DEFENSA DE LA COMPETENCIA Y DE LA PROTECCIÓN DE LA PROPIEDAD INTELECTUAL-INDECOPI-TRATÁNDOSE DE CONCENTRACIONES DE TIPO VERTICAL Y HORIZONTAL QUE SE PRODUZCAN EN LAS ACTIVIDADES DE SALUD, EDUCACIÓN, SEGURIDAD, SERVICIOS PÚBLICOS E INFRAESTRUCTURA;Propone establecer la autorización previa por el Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual-INDECOPI-tratándose de concentraciones de tipo vertical y horizontal que se produzcan en las actividades de salud, educación, seguridad, servicios públicos e infraestructura.
02566/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE DECLARA DE UTILIDAD Y NECESIDAD PÚBLICA LA ELABORACIÓN Y EJECUCIÓN DE UN PROYECTO DE AMPLIACIÓN, MEJORAMIENTO Y EQUIPAMIENTO DE LOS SERVICIOS EDUCATIVOS DEL INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO LUIS E. VALCÁRCEL-PAMPA INALÁMBRICA, PROVINCIA DE ILO-REGIÓN MOQUEGUA;Propone declarar de utilidad y necesidad pública la elaboración y ejecución de un proyecto de ampliación, mejoramiento y equipamiento de los servicios educativos del Instituto Superior Tecnológico Público Luis E. Valcárcel-Pampa Inalámbrica, provincia de Ilo-Región Moquegua.
02565/2017-PE;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Poder Ejecutivo;;CONVENCIÓN SOBRE ASISTENCIA ADMINISTRATIVA MUTUA EN MATERIA FISCAL;Propone someter a la aprobación del Congreso de la República la Convención sobre Asistencia Administrativa Mutua en Materia Fiscal.
