Expediente;Período;Legislatura;Fecha;Proponente;Parlamento;Título;Objeto
07724/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;18/05/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA PROTECCIÓN INTEGRAL DE NIÑOS Y NIÑAS HUÉFENOS DEL COVID-19;Propone declarar de necesidad pública e interés nacional la protección integral de los niños y niñas menores de edad que han quedado huérfanos de padre y madre a consecuencia del Covid-19.
07723/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;18/05/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE RÍO ENE EN LA PROVINCIA DE SATIPO, DEPARTAMENTO DE JUNÍN;Propone declarar de interés nacional la creación del distrito de Río Ene de la provincia de Satipo en el departamento de Junín.
07722/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;18/05/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL COLEGIO DE ALTO RENDIMIENTO COAR - VRAEM;Propone declarar de necesidad pública y de interés nacional la creación del Colegio de Alto Rendimiento COAR - VRAEM.
07721/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;18/05/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN DEL PUENTE CARROZABLE ENTRE LAS LOCALIDADES DE SAN ANTONIO (AYACUCHO) Y VILLA KINTIARINA (CUSCO);Propone declarar de interés nacional y necesidad pública la construcción del puente carrozable entre los distritos de San Antonio (Ayacucho) y Villa Kintiarina Alta (Cusco) afín de afianzar la conectividad e integración entre los pueblos del VRAEM.
07720/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;18/05/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE INCA GARCILASO DE LA VEGA EN LA PROVINCIA DE LA MAR, DEPARTAMENTO DE AYACUCHO;Propone declarar de necesidad pública e interés nacional la creación del distrito de Inca Garcilaso de la Vega en la provincia de la Mar, departamento de Ayacucho.
07719/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;18/05/2021;Congreso;Unión por el Perú;LEY QUE ESTABLECE LA ENTREGA EXCEPCIONAL DE UN BONO PATRIÓTICO A FAVOR DE LOS AFILIADOS Y BENEFICIARIOS DE LA ONP;Propone establecer la entrega excepcional de un bono patriótico a favor de los afiliados y beneficiarios de la ONP.
07718/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;18/05/2021;Congreso;Alianza Para el Progreso;LEY QUE MODIFICA EL ARTÍCULO 7 Y EL ARTÍCULO 143 DE LA LEY 28611 - LEY GENERAL DEL AMBIENTE;Propone modificar los artículos 7 y 143 de la Ley 28611, Ley General del Ambiente en aras de determinar la competencia idónea para conocer las acciones relativas al cumplimiento de las normas ambientales.
07717/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;17/05/2021;Congreso;Alianza Para el Progreso;LEY DE DEROGATORIA DE LA QUINCUAGÉSIMA OCTAVA DISPOSICIÓN COMPLEMENTARIA FINAL DE LA LEY 29951, LEY DE PRESUPUESTO PARA EL SECTOR PÚBLICO PARA EL AÑO FISCAL 2013;Propone derogar la Quincuagésima Octava Disposición Complementaria Final de la Ley 29951, Ley de Presupuesto para el Sector Público para el Año Fiscal 2013.
07716/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;17/05/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CONSTRUCCIÓN DE LA CARRETERA BALSAPUERTO - MOYOBAMBA;Propone declarar de necesidad pública e interés nacional la construcción de la carretera Balsapuerto - Moyobamba.
07715/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;17/05/2021;Congreso;Alianza Para el Progreso;LEY QUE MODIFICA E INCORPORA UN PÁRRAFO ADICIONAL A LA NONAGÉSIMA SEGUNDA DISPOSICIÓN COMPLEMENTARIA FINAL DE LA LEY 31084, LEY DE PRESUPUESTO DEL SECTOR PÚBLICO PARA EL AÑO FISCAL 2021;Propone incorporar a la Nonagésima Segunda Disposición Complementaria Final de la Ley 31084, Ley de Presupuesto del Sector Público para el Año Fiscal 2021.
